Site ID,Parent Site ID,Site Name,Short Name,Type,Latitude,Longitude,Start_Date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,geolocation
M002E,M002,"Story Bridge (East), Kangaroo Point","Story Br, Kangaroo Pt",Manual,-27.461897,153.035827,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"-27.461897, 153.035827"
M002W,M002,"Story Bridge (West), Kangaroo Point","Story Br, Kangaroo Pt",Manual,-27.461891,153.035577,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.461891, 153.035577"
M003,M003,"Riverwalk, New Farm","Riverwalk, New Farm",Manual,-27.47107,153.041141,2004,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.47107, 153.041141"
M004,M004,Story Bridge Underpass connecting Bowen Terrace_Ivory Lane,Story Br Underpass connecting Bowen Terrace_Ivory Lane,Manual,-27.461705,153.035592,2011,,,,,,,,1,1,1,,,,,,,,,,,,1.0,"-27.461705, 153.035592"
M009,M009,"Kedron Brook Bikeway Nudgee Rd, Nundah","Kedron Brook Bikeway Nudgee Rd, Nundah",Manual,-27.40652433,153.0737474,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.40652433, 153.0737474"
M012,M012,"Wynnum Foreshore, Wynnum","Wynnum Foreshore, Wynnum",Manual,-27.446578,153.187264,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.446578, 153.187264"
M016W,M016,"Walter Taylor Bridge, Indooroopilly","Walter Taylor Br, Indooroopilly",Manual,-27.504647,152.9739,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1.0,"-27.504647, 152.9739"
M020W,M020,"Go Between Bridge, South Brisbane Cycle","Go Between Br, Sth Brisbane Cycle",Manual,-27.471133,153.013317,2010,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.471133, 153.013317"
M021N,M021,"Bridge St, Woolowin","Bridge St, Woolowin",Manual,-27.422454,153.042372,2020,,,,,,,,,,,,,,,,,1,,1,1,1,1.0,"-27.422454, 153.042372"
M024E,M024,"Sylvan Rd, Toowong (at Coro Dr)","Sylvan Rd, Toowong (at Coro Dr)",Manual,-27.482441,152.996591,2010,,,,,,,1,1,1,,,,,,1,,1,,,,,,"-27.482441, 152.996591"
